No;Specialization;Number of occurrences in job descriptions
1;Java developer;3375
2;Web developer;2935
3;Front End developer;2925
4;PHP developer;2501
5;C# developer;1630
6;Developer;1589
7;Mobile-iOS developer;1537
8;Mobile-Android developer;1521
9;Engineer-developer;1324
10;Python developer;1215
11;C++ developer;694
12;Back End developer;605
13;JavaScript developer;348
14;SQL developer;262
15;Full stack developer;245
16;System developer;242
17;Ruby developer;176
18;Mobile developer;120
19;Delphi developer;94
20;Embedded developer;77
21;SharePoint developer;35
22;C developer;15
;;
;;
;;
;;
